opportunity_id,sector,region,country,subregion,market_size_usd_b,growth_rate_percent,investment_potential_usd_m,key_drivers,key_players,forecast_year,risk_level,regulatory_barriers,competitive_intensity,description
opp-20218,transportation,middle east,kuwait,kuwait,174.0,24.94,240.94,population growth,"kiewit, leighton asia, vinci, john holland",2038,low,low,low,"high-potential opportunity in transportation sector in kuwait, kuwait (middle east), driven by government investment."
opp-20219,residential,middle east,kuwait,kuwait,124.48,11.75,6813.1,population growth,"laing o’rourke, acciona, bouygues, leighton asia, john holland, turner construction, lendlease, bechtel, kajima corporation",2031,high,low,moderate,"high-potential opportunity in residential sector in kuwait, kuwait (middle east), driven by infrastructure needs."
opp-20220,infrastructure,africa,nigeria,nigeria,159.78,2.96,3394.74,infrastructure demand,"thiess, samsung c&t, jacobs, bouygues, bam group",2034,low,unknown,high,"high-potential opportunity in infrastructure sector in nigeria, nigeria (africa), driven by government investment."
opp-20221,infrastructure,north america,canada,british columbia,85.06,14.57,11499.12,green policies,"strabag, fluor, skanska",2044,high,moderate,high,"high-potential opportunity in infrastructure sector in british columbia, canada (north america), driven by government investment."
opp-20222,energy,europe,spain,spain,198.16,2.77,13619.19,urbanization,"lendlease, china state construction, leighton asia, thiess",2034,high,high,low,"high-potential opportunity in energy sector in spain, spain (europe), driven by government investment."
opp-20223,residential,middle east,qatar,qatar,5.86,6.73,12728.58,energy transition,"cpb contractors, laing o’rourke, strabag, snc-lavalin",2028,medium,low,high,"high-potential opportunity in residential sector in qatar, qatar (middle east), driven by energy demands."
opp-20224,education,europe,poland,poland,64.19,26.48,11407.54,digitalization,"hochtief, aecom, dragados, pcl construction, larsen & toubro, kajima corporation, turner construction, balfour beatty, strabag",2037,high,moderate,high,"high-potential opportunity in education sector in poland, poland (europe), driven by sustainability goals."
opp-20225,energy,latin america,venezuela,venezuela,166.86,20.6,4395.88,energy transition,"mace group, jacobs, bechtel, gilbane, saipem, samsung c&t, hochtief",2034,medium,high,moderate,"high-potential opportunity in energy sector in venezuela, venezuela (latin america), driven by government investment."
opp-20226,healthcare,australia,australia,western australia,20.58,9.29,7098.49,digitalization,"multiplex, acciona, ferrovial",2030,medium,low,low,"high-potential opportunity in healthcare sector in western australia, australia (australia), driven by government investment."
opp-20227,industrial,north america,usa,florida,13.55,25.77,7635.47,digitalization,"kiewit, snc-lavalin, bechtel, china state construction, whiting-turner, vinci, lendlease, balfour beatty, gilbane, turner construction",2038,medium,low,low,"high-potential opportunity in industrial sector in florida, usa (north america), driven by government investment."
opp-20228,energy,europe,france,france,78.15,1.0,1872.77,digitalization,"turner construction, bechtel, gilbane, john holland",2038,medium,unknown,moderate,"high-potential opportunity in energy sector in france, france (europe), driven by government investment."
opp-20229,utilities,latin america,brazil,minas gerais,153.32,12.07,1574.7,economic growth,"mace group, bechtel, whiting-turner, kiewit, acciona",2037,low,high,moderate,"high-potential opportunity in utilities sector in minas gerais, brazil (latin america), driven by infrastructure needs."
opp-20230,healthcare,asia-pacific,australia,queensland,73.98,0.88,6547.15,green policies,"balfour beatty, snc-lavalin, kiewit, pcl construction",2034,medium,unknown,low,"high-potential opportunity in healthcare sector in queensland, australia (asia-pacific), driven by government investment."
opp-20231,education,africa,south africa,kwazulu-natal,94.2,22.75,8273.85,urbanization,"salini impregilo, obayashi corporation, acciona, larsen & toubro, kiewit, mortenson construction, john holland, cpb contractors, mace group",2030,high,moderate,low,"high-potential opportunity in education sector in kwazulu-natal, south africa (africa), driven by urban growth."
opp-20232,energy,europe,poland,poland,92.41,6.6,4109.49,population growth,"leighton asia, skanska, aecom, lendlease, strabag, laing o’rourke, hochtief, balfour beatty",2045,high,unknown,high,"high-potential opportunity in energy sector in poland, poland (europe), driven by infrastructure needs."
opp-20233,energy,latin america,colombia,colombia,175.33,3.05,594.05,economic growth,"pcl construction, snc-lavalin, hyundai e&c, larsen & toubro, cpb contractors",2044,high,moderate,moderate,"high-potential opportunity in energy sector in colombia, colombia (latin america), driven by sustainability goals."
opp-20234,education,asia-pacific,china,guangdong,25.0,24.94,3309.38,green policies,"aecom, mace group, laing o’rourke, china state construction, mccarthy, cpb contractors, acciona, strabag, clark construction",2032,medium,unknown,high,"high-potential opportunity in education sector in guangdong, china (asia-pacific), driven by government investment."
opp-20235,commercial,australia,australia,western australia,52.45,11.97,14510.25,economic growth,"obayashi corporation, laing o’rourke, multiplex, aecom, hyundai e&c, whiting-turner, balfour beatty, cpb contractors, hochtief",2038,high,moderate,high,"high-potential opportunity in commercial sector in western australia, australia (australia), driven by infrastructure needs."
opp-20236,energy,latin america,chile,chile,183.3,27.37,3685.6,population growth,"bam group, samsung c&t, vinci, ferrovial, lendlease",2036,high,moderate,moderate,"high-potential opportunity in energy sector in chile, chile (latin america), driven by sustainability goals."
opp-20237,healthcare,europe,netherlands,netherlands,76.63,3.31,13960.89,population growth,"vinci, china state construction, kiewit, hochtief, kajima corporation, strabag, clark construction, ferrovial",2036,high,low,low,"high-potential opportunity in healthcare sector in netherlands, netherlands (europe), driven by tech adoption."
opp-20238,commercial,australia,australia,queensland,159.83,29.22,805.83,urbanization,"mortenson construction, china state construction, obayashi corporation, ferrovial, bam group, hochtief",2042,low,low,low,"high-potential opportunity in commercial sector in queensland, australia (australia), driven by government investment."
opp-20239,industrial,north america,mexico,mexico,74.82,24.6,4527.32,economic growth,"acciona, kajima corporation, larsen & toubro, multiplex, turner construction, saipem, vinci, snc-lavalin, obayashi corporation, gilbane",2034,high,high,high,"high-potential opportunity in industrial sector in mexico, mexico (north america), driven by tech adoption."
opp-20240,industrial,middle east,saudi arabia,saudi arabia,185.24,25.37,6409.27,infrastructure demand,"turner construction, bechtel, mortenson construction, leighton asia, cpb contractors, bam group, larsen & toubro",2040,medium,high,high,"high-potential opportunity in industrial sector in saudi arabia, saudi arabia (middle east), driven by government investment."
opp-20241,energy,australia,australia,western australia,13.9,19.62,6509.48,digitalization,"skanska, vinci, saipem, john holland, jacobs",2042,low,moderate,high,"high-potential opportunity in energy sector in western australia, australia (australia), driven by sustainability goals."
opp-20242,infrastructure,europe,poland,poland,126.93,0.79,14783.73,urbanization,"vinci, mccarthy, balfour beatty, snc-lavalin, shimizu corporation, mace group, bechtel, hochtief, john holland, strabag",2037,high,moderate,moderate,"high-potential opportunity in infrastructure sector in poland, poland (europe), driven by tech adoption."
opp-20243,transportation,latin america,colombia,colombia,36.7,19.72,6038.83,population growth,"strabag, mccarthy, ferrovial, jacobs, acciona, kiewit, vinci, skanska, laing o’rourke, leighton asia",2033,high,unknown,high,"high-potential opportunity in transportation sector in colombia, colombia (latin america), driven by urban growth."
opp-20244,industrial,australia,australia,western australia,154.39,19.31,6471.83,green policies,"hochtief, kajima corporation, strabag, saipem, kiewit",2035,low,high,high,"high-potential opportunity in industrial sector in western australia, australia (australia), driven by energy demands."
opp-20245,utilities,europe,poland,poland,105.37,29.5,12154.79,digitalization,"john holland, ferrovial, china state construction, mccarthy, snc-lavalin, mace group, gilbane, skanska, samsung c&t, shimizu corporation",2029,medium,low,moderate,"high-potential opportunity in utilities sector in poland, poland (europe), driven by infrastructure needs."
opp-20246,infrastructure,middle east,qatar,qatar,198.81,16.83,14480.12,urbanization,"bam group, leighton asia, mace group",2039,medium,unknown,high,"high-potential opportunity in infrastructure sector in qatar, qatar (middle east), driven by government investment."
opp-20247,energy,australia,australia,new south wales,146.5,11.84,2636.42,green policies,"whiting-turner, aecom, shimizu corporation, jacobs, skanska, fluor, mccarthy, lendlease, hyundai e&c, multiplex",2033,medium,low,high,"high-potential opportunity in energy sector in new south wales, australia (australia), driven by energy demands."
opp-20248,transportation,africa,kenya,kenya,12.23,3.45,5611.07,digitalization,"gilbane, turner construction, clark construction, skanska",2027,medium,unknown,high,"high-potential opportunity in transportation sector in kenya, kenya (africa), driven by tech adoption."
opp-20249,residential,asia-pacific,indonesia,indonesia,86.99,2.34,11717.97,urbanization,"skanska, aecom, obayashi corporation",2037,high,unknown,moderate,"high-potential opportunity in residential sector in indonesia, indonesia (asia-pacific), driven by government investment."
opp-20250,education,europe,uk,england,123.53,4.34,834.94,infrastructure demand,"cpb contractors, bouygues, thiess, multiplex, fluor, kiewit, gilbane, bam group, saipem",2034,low,high,moderate,"high-potential opportunity in education sector in england, uk (europe), driven by energy demands."
opp-20251,commercial,middle east,qatar,qatar,150.17,10.85,8825.03,infrastructure demand,"bouygues, mace group, hyundai e&c, skanska, bechtel, fluor, saipem, dragados",2031,medium,moderate,high,"high-potential opportunity in commercial sector in qatar, qatar (middle east), driven by tech adoption."
opp-20252,education,latin america,colombia,colombia,94.11,28.94,857.99,green policies,"multiplex, thiess, ferrovial, lendlease, skanska, obayashi corporation, dragados",2030,high,high,moderate,"high-potential opportunity in education sector in colombia, colombia (latin america), driven by government investment."
opp-20253,utilities,north america,canada,ontario,145.63,11.16,4830.94,infrastructure demand,"aecom, bechtel, acciona, lendlease, kajima corporation, strabag, multiplex",2035,medium,moderate,high,"high-potential opportunity in utilities sector in ontario, canada (north america), driven by government investment."
opp-20254,industrial,middle east,kuwait,kuwait,159.86,12.36,6005.0,economic growth,"dragados, hyundai e&c, mccarthy, hochtief, bam group, laing o’rourke, clark construction, mortenson construction, mace group, turner construction",2042,medium,high,high,"high-potential opportunity in industrial sector in kuwait, kuwait (middle east), driven by sustainability goals."
opp-20255,infrastructure,asia-pacific,south korea,south korea,143.26,18.05,12559.43,economic growth,"vinci, whiting-turner, pcl construction, leighton asia, aecom, jacobs, clark construction, bouygues",2040,low,moderate,low,"high-potential opportunity in infrastructure sector in south korea, south korea (asia-pacific), driven by government investment."
opp-20256,energy,africa,algeria,algeria,182.53,18.89,8975.76,economic growth,"laing o’rourke, larsen & toubro, thiess, whiting-turner",2036,low,low,low,"high-potential opportunity in energy sector in algeria, algeria (africa), driven by infrastructure needs."
opp-20257,utilities,asia-pacific,singapore,singapore,136.77,14.72,2367.04,green policies,"skanska, larsen & toubro, salini impregilo, bam group, lendlease, leighton asia",2029,medium,moderate,high,"high-potential opportunity in utilities sector in singapore, singapore (asia-pacific), driven by energy demands."
opp-20258,utilities,north america,canada,quebec,67.25,7.64,2699.81,urbanization,"clark construction, strabag, lendlease, kajima corporation, hochtief, shimizu corporation",2036,high,low,high,"high-potential opportunity in utilities sector in quebec, canada (north america), driven by government investment."
opp-20259,education,north america,canada,alberta,100.51,13.34,12753.47,digitalization,"vinci, obayashi corporation, salini impregilo, mccarthy, balfour beatty, hyundai e&c, china state construction, jacobs, fluor",2027,low,moderate,high,"high-potential opportunity in education sector in alberta, canada (north america), driven by urban growth."
opp-20260,transportation,north america,canada,ontario,126.74,19.54,6227.29,infrastructure demand,"clark construction, gilbane, fluor, saipem, obayashi corporation, skanska, hyundai e&c, acciona, kajima corporation, bouygues",2043,high,unknown,low,"high-potential opportunity in transportation sector in ontario, canada (north america), driven by sustainability goals."
opp-20261,energy,north america,usa,florida,44.67,9.37,6387.01,population growth,"bouygues, fluor, obayashi corporation, snc-lavalin, lendlease, john holland",2032,low,moderate,low,"high-potential opportunity in energy sector in florida, usa (north america), driven by sustainability goals."
opp-20262,transportation,australia,australia,new south wales,104.71,22.36,11634.05,economic growth,"leighton asia, kajima corporation, strabag, laing o’rourke, salini impregilo, hyundai e&c",2041,medium,high,moderate,"high-potential opportunity in transportation sector in new south wales, australia (australia), driven by government investment."
opp-20263,infrastructure,australia,australia,victoria,14.15,20.4,7791.94,urbanization,"larsen & toubro, mccarthy, clark construction, salini impregilo, bouygues",2035,high,moderate,moderate,"high-potential opportunity in infrastructure sector in victoria, australia (australia), driven by energy demands."
opp-20264,transportation,latin america,peru,peru,31.97,1.36,2246.93,green policies,"obayashi corporation, samsung c&t, acciona, whiting-turner, dragados, mortenson construction, shimizu corporation, hyundai e&c",2037,low,low,moderate,"high-potential opportunity in transportation sector in peru, peru (latin america), driven by tech adoption."
opp-20265,infrastructure,latin america,venezuela,venezuela,168.36,6.1,4223.1,economic growth,"lendlease, saipem, strabag, hochtief, kajima corporation, samsung c&t, john holland, ferrovial, aecom",2043,high,high,low,"high-potential opportunity in infrastructure sector in venezuela, venezuela (latin america), driven by infrastructure needs."
opp-20266,education,australia,australia,queensland,34.31,6.53,2133.13,green policies,"john holland, saipem, mace group, hochtief, shimizu corporation",2041,low,unknown,high,"high-potential opportunity in education sector in queensland, australia (australia), driven by tech adoption."
opp-20267,commercial,asia-pacific,indonesia,indonesia,22.77,12.06,11515.19,infrastructure demand,"mace group, multiplex, laing o’rourke, snc-lavalin, shimizu corporation",2040,low,low,low,"high-potential opportunity in commercial sector in indonesia, indonesia (asia-pacific), driven by sustainability goals."
opp-20268,commercial,europe,germany,germany,145.78,7.36,3349.92,digitalization,"kiewit, bechtel, vinci, balfour beatty, whiting-turner, samsung c&t, leighton asia, snc-lavalin",2045,high,unknown,high,"high-potential opportunity in commercial sector in germany, germany (europe), driven by urban growth."
opp-20269,utilities,asia-pacific,india,tamil nadu,135.53,14.05,8448.2,energy transition,"strabag, john holland, samsung c&t, whiting-turner, jacobs, gilbane, fluor, turner construction",2045,medium,high,high,"high-potential opportunity in utilities sector in tamil nadu, india (asia-pacific), driven by infrastructure needs."
opp-20270,industrial,europe,poland,poland,148.54,23.22,1791.84,infrastructure demand,"vinci, john holland, gilbane, laing o’rourke, samsung c&t, saipem",2030,medium,moderate,high,"high-potential opportunity in industrial sector in poland, poland (europe), driven by infrastructure needs."
opp-20271,infrastructure,africa,morocco,morocco,189.44,1.56,2627.52,digitalization,"whiting-turner, skanska, bechtel, turner construction, salini impregilo, snc-lavalin, lendlease, saipem, hochtief",2041,low,unknown,low,"high-potential opportunity in infrastructure sector in morocco, morocco (africa), driven by urban growth."
opp-20272,residential,africa,south africa,gauteng,57.69,17.58,9493.62,green policies,"bam group, multiplex, john holland",2029,medium,moderate,high,"high-potential opportunity in residential sector in gauteng, south africa (africa), driven by urban growth."
opp-20273,infrastructure,africa,nigeria,nigeria,17.62,2.16,13557.06,economic growth,"mortenson construction, leighton asia, john holland, snc-lavalin, thiess, hyundai e&c, salini impregilo, kajima corporation, acciona",2036,high,high,low,"high-potential opportunity in infrastructure sector in nigeria, nigeria (africa), driven by tech adoption."
opp-20274,energy,latin america,colombia,colombia,14.43,4.04,1707.87,energy transition,"turner construction, multiplex, saipem, salini impregilo, bam group, ferrovial, thiess, mccarthy, gilbane",2045,low,unknown,low,"high-potential opportunity in energy sector in colombia, colombia (latin america), driven by infrastructure needs."
opp-20275,utilities,australia,australia,new south wales,43.05,17.76,2680.53,green policies,"bouygues, turner construction, strabag, hyundai e&c, john holland, mortenson construction",2045,medium,unknown,moderate,"high-potential opportunity in utilities sector in new south wales, australia (australia), driven by sustainability goals."
opp-20276,utilities,latin america,colombia,colombia,185.46,23.08,6234.63,infrastructure demand,"turner construction, shimizu corporation, ferrovial, mortenson construction, clark construction, lendlease, kajima corporation, mace group, vinci",2030,high,unknown,high,"high-potential opportunity in utilities sector in colombia, colombia (latin america), driven by tech adoption."
opp-20277,energy,middle east,kuwait,kuwait,125.4,4.08,537.52,infrastructure demand,"vinci, bam group, mace group, gilbane, kiewit",2030,medium,moderate,low,"high-potential opportunity in energy sector in kuwait, kuwait (middle east), driven by government investment."
opp-20278,industrial,europe,poland,poland,3.52,12.59,1020.57,population growth,"mace group, mortenson construction, aecom, fluor",2031,medium,moderate,high,"high-potential opportunity in industrial sector in poland, poland (europe), driven by infrastructure needs."
opp-20279,transportation,asia-pacific,malaysia,malaysia,77.31,5.15,10706.07,population growth,"saipem, gilbane, cpb contractors, mccarthy, john holland, balfour beatty, vinci, china state construction, larsen & toubro, lendlease",2039,high,unknown,low,"high-potential opportunity in transportation sector in malaysia, malaysia (asia-pacific), driven by urban growth."
opp-20280,commercial,middle east,saudi arabia,saudi arabia,35.39,8.96,3923.48,infrastructure demand,"multiplex, balfour beatty, dragados, bechtel, mace group, ferrovial, thiess, jacobs",2041,low,unknown,moderate,"high-potential opportunity in commercial sector in saudi arabia, saudi arabia (middle east), driven by urban growth."
opp-20281,healthcare,middle east,kuwait,kuwait,70.46,27.84,10071.75,green policies,"skanska, china state construction, pcl construction, dragados, kajima corporation, clark construction, turner construction, strabag",2039,low,unknown,high,"high-potential opportunity in healthcare sector in kuwait, kuwait (middle east), driven by tech adoption."
opp-20282,infrastructure,middle east,saudi arabia,saudi arabia,33.75,11.51,14226.45,urbanization,"fluor, mace group, kajima corporation, skanska",2042,high,high,low,"high-potential opportunity in infrastructure sector in saudi arabia, saudi arabia (middle east), driven by sustainability goals."
opp-20283,residential,latin america,colombia,colombia,104.33,5.06,4811.77,energy transition,"mortenson construction, samsung c&t, fluor",2036,high,moderate,moderate,"high-potential opportunity in residential sector in colombia, colombia (latin america), driven by tech adoption."
opp-20284,infrastructure,north america,canada,quebec,16.04,1.62,14745.92,urbanization,"bechtel, balfour beatty, gilbane, vinci, pcl construction, salini impregilo, thiess, clark construction, strabag",2026,high,high,low,"high-potential opportunity in infrastructure sector in quebec, canada (north america), driven by government investment."
opp-20285,education,latin america,brazil,minas gerais,103.29,17.38,8167.59,digitalization,"acciona, skanska, salini impregilo, clark construction, fluor, john holland, kiewit",2034,high,unknown,moderate,"high-potential opportunity in education sector in minas gerais, brazil (latin america), driven by sustainability goals."
opp-20286,commercial,asia-pacific,indonesia,indonesia,144.63,23.39,6995.8,urbanization,"skanska, shimizu corporation, thiess, kiewit, bam group, john holland, obayashi corporation, mace group, clark construction",2037,medium,high,high,"high-potential opportunity in commercial sector in indonesia, indonesia (asia-pacific), driven by energy demands."
opp-20287,transportation,asia-pacific,australia,queensland,145.07,10.11,3280.54,digitalization,"skanska, multiplex, acciona, aecom",2034,medium,low,moderate,"high-potential opportunity in transportation sector in queensland, australia (asia-pacific), driven by tech adoption."
opp-20288,residential,australia,australia,queensland,113.46,4.46,11818.06,digitalization,"china state construction, thiess, hyundai e&c",2026,high,low,moderate,"high-potential opportunity in residential sector in queensland, australia (australia), driven by tech adoption."
opp-20289,infrastructure,australia,australia,victoria,137.46,29.02,8185.15,green policies,"gilbane, salini impregilo, vinci, turner construction, multiplex, fluor, mortenson construction, dragados, pcl construction",2028,medium,low,high,"high-potential opportunity in infrastructure sector in victoria, australia (australia), driven by government investment."
opp-20290,utilities,australia,australia,new south wales,140.72,12.48,4618.55,economic growth,"shimizu corporation, bechtel, lendlease, salini impregilo, obayashi corporation, hochtief, pcl construction, snc-lavalin",2034,medium,low,low,"high-potential opportunity in utilities sector in new south wales, australia (australia), driven by government investment."
opp-20291,healthcare,asia-pacific,japan,japan,139.54,24.7,14971.61,energy transition,"clark construction, bam group, larsen & toubro, ferrovial, laing o’rourke, bechtel",2037,medium,high,high,"high-potential opportunity in healthcare sector in japan, japan (asia-pacific), driven by tech adoption."
opp-20292,commercial,australia,australia,western australia,106.95,16.64,14596.35,economic growth,"fluor, turner construction, larsen & toubro, mortenson construction, clark construction, saipem",2032,low,low,high,"high-potential opportunity in commercial sector in western australia, australia (australia), driven by infrastructure needs."
opp-20293,energy,middle east,kuwait,kuwait,93.19,9.49,3992.54,green policies,"lendlease, obayashi corporation, vinci, multiplex, pcl construction, jacobs, acciona",2034,high,high,low,"high-potential opportunity in energy sector in kuwait, kuwait (middle east), driven by sustainability goals."
opp-20294,utilities,latin america,brazil,são paulo,133.03,3.21,13458.96,digitalization,"snc-lavalin, obayashi corporation, john holland, jacobs, ferrovial, turner construction, balfour beatty, mccarthy",2031,low,low,low,"high-potential opportunity in utilities sector in são paulo, brazil (latin america), driven by urban growth."
opp-20295,transportation,africa,nigeria,nigeria,105.24,19.67,5111.27,green policies,"hyundai e&c, whiting-turner, thiess, leighton asia, mccarthy",2029,high,unknown,high,"high-potential opportunity in transportation sector in nigeria, nigeria (africa), driven by energy demands."
opp-20296,energy,australia,australia,western australia,99.26,20.47,4201.72,energy transition,"salini impregilo, bouygues, balfour beatty, snc-lavalin",2040,low,high,low,"high-potential opportunity in energy sector in western australia, australia (australia), driven by tech adoption."
opp-20297,healthcare,middle east,kuwait,kuwait,3.59,2.17,11904.05,green policies,"turner construction, mccarthy, larsen & toubro, pcl construction, hyundai e&c",2035,low,moderate,high,"high-potential opportunity in healthcare sector in kuwait, kuwait (middle east), driven by sustainability goals."
opp-20298,industrial,middle east,saudi arabia,saudi arabia,139.16,18.47,969.06,economic growth,"leighton asia, china state construction, pcl construction, snc-lavalin, kajima corporation, bechtel, larsen & toubro, bam group, shimizu corporation",2026,high,moderate,high,"high-potential opportunity in industrial sector in saudi arabia, saudi arabia (middle east), driven by government investment."
opp-20299,industrial,europe,italy,italy,72.04,17.07,6326.78,energy transition,"ferrovial, john holland, china state construction, kajima corporation, clark construction, jacobs, samsung c&t, bam group, cpb contractors",2039,low,unknown,moderate,"high-potential opportunity in industrial sector in italy, italy (europe), driven by urban growth."
opp-20300,industrial,australia,australia,new south wales,162.75,8.72,11513.64,green policies,"larsen & toubro, aecom, dragados, hyundai e&c",2030,medium,moderate,high,"high-potential opportunity in industrial sector in new south wales, australia (australia), driven by government investment."
opp-20301,industrial,middle east,qatar,qatar,140.68,20.18,2859.66,urbanization,"mace group, thiess, snc-lavalin, gilbane, larsen & toubro, turner construction, obayashi corporation",2031,low,moderate,high,"high-potential opportunity in industrial sector in qatar, qatar (middle east), driven by sustainability goals."
opp-20302,utilities,australia,australia,western australia,50.86,14.28,12087.87,energy transition,"john holland, larsen & toubro, snc-lavalin, gilbane, pcl construction",2039,low,unknown,high,"high-potential opportunity in utilities sector in western australia, australia (australia), driven by urban growth."
opp-20303,transportation,europe,france,france,100.16,26.58,4998.65,economic growth,"samsung c&t, larsen & toubro, hyundai e&c, snc-lavalin, kajima corporation, hochtief, cpb contractors, acciona, laing o’rourke, clark construction",2030,high,low,high,"high-potential opportunity in transportation sector in france, france (europe), driven by government investment."
opp-20304,utilities,latin america,venezuela,venezuela,192.37,19.5,1000.44,digitalization,"gilbane, pcl construction, bam group, kajima corporation, snc-lavalin, multiplex, lendlease",2040,high,unknown,moderate,"high-potential opportunity in utilities sector in venezuela, venezuela (latin america), driven by government investment."
opp-20305,infrastructure,latin america,chile,chile,67.21,6.35,5657.17,infrastructure demand,"clark construction, snc-lavalin, fluor, shimizu corporation",2029,high,unknown,moderate,"high-potential opportunity in infrastructure sector in chile, chile (latin america), driven by tech adoption."
opp-20306,education,asia-pacific,singapore,singapore,187.06,1.47,3630.86,infrastructure demand,"saipem, turner construction, bouygues, clark construction, leighton asia, laing o’rourke, snc-lavalin, fluor",2029,medium,low,high,"high-potential opportunity in education sector in singapore, singapore (asia-pacific), driven by sustainability goals."
opp-20307,transportation,middle east,oman,oman,83.12,14.66,12833.18,digitalization,"bouygues, laing o’rourke, mortenson construction, hyundai e&c, cpb contractors",2044,low,high,low,"high-potential opportunity in transportation sector in oman, oman (middle east), driven by urban growth."
opp-20308,utilities,africa,morocco,morocco,70.85,4.79,14526.03,digitalization,"lendlease, john holland, leighton asia, samsung c&t",2037,medium,unknown,moderate,"high-potential opportunity in utilities sector in morocco, morocco (africa), driven by energy demands."
opp-20309,education,north america,usa,texas,78.45,22.44,1860.27,green policies,"lendlease, clark construction, balfour beatty, hyundai e&c, mccarthy, kiewit",2032,medium,high,low,"high-potential opportunity in education sector in texas, usa (north america), driven by energy demands."
opp-20310,residential,australia,australia,queensland,87.5,18.26,1278.4,green policies,"clark construction, china state construction, hyundai e&c, vinci, snc-lavalin, kajima corporation, bam group",2026,high,high,low,"high-potential opportunity in residential sector in queensland, australia (australia), driven by infrastructure needs."
opp-20311,infrastructure,africa,egypt,egypt,108.77,17.5,2959.35,energy transition,"vinci, china state construction, kajima corporation, kiewit, pcl construction, whiting-turner, jacobs, skanska, multiplex, mace group",2029,medium,unknown,low,"high-potential opportunity in infrastructure sector in egypt, egypt (africa), driven by tech adoption."
opp-20312,industrial,africa,algeria,algeria,8.29,21.07,4735.35,energy transition,"fluor, obayashi corporation, bechtel, jacobs, strabag, john holland",2034,low,low,high,"high-potential opportunity in industrial sector in algeria, algeria (africa), driven by infrastructure needs."
opp-20313,transportation,middle east,saudi arabia,saudi arabia,66.36,1.19,12910.75,population growth,"multiplex, hyundai e&c, gilbane, mccarthy, lendlease, aecom, whiting-turner, john holland, obayashi corporation",2044,high,low,high,"high-potential opportunity in transportation sector in saudi arabia, saudi arabia (middle east), driven by urban growth."
opp-20314,energy,africa,morocco,morocco,72.53,3.43,10884.51,economic growth,"laing o’rourke, strabag, jacobs, kajima corporation, thiess, salini impregilo, hyundai e&c, bechtel, mace group",2039,high,moderate,high,"high-potential opportunity in energy sector in morocco, morocco (africa), driven by infrastructure needs."
opp-20315,healthcare,north america,usa,florida,195.21,13.95,2574.75,infrastructure demand,"balfour beatty, kajima corporation, hochtief, china state construction, ferrovial, thiess, bechtel",2031,low,unknown,moderate,"high-potential opportunity in healthcare sector in florida, usa (north america), driven by tech adoption."
opp-20316,infrastructure,africa,nigeria,nigeria,166.57,19.03,9345.37,green policies,"gilbane, whiting-turner, shimizu corporation, hochtief, jacobs, vinci",2034,medium,low,low,"high-potential opportunity in infrastructure sector in nigeria, nigeria (africa), driven by government investment."
opp-20317,industrial,asia-pacific,south korea,south korea,94.38,18.35,145.71,economic growth,"vinci, snc-lavalin, multiplex, bam group, turner construction, shimizu corporation, kajima corporation",2028,low,moderate,high,"high-potential opportunity in industrial sector in south korea, south korea (asia-pacific), driven by energy demands."
opp-20318,commercial,asia-pacific,singapore,singapore,166.47,28.05,1382.6,population growth,"laing o’rourke, whiting-turner, bam group, snc-lavalin, ferrovial, hyundai e&c",2045,high,low,moderate,"high-potential opportunity in commercial sector in singapore, singapore (asia-pacific), driven by government investment."
opp-20319,education,middle east,oman,oman,92.56,23.48,12478.43,green policies,"kiewit, thiess, dragados, laing o’rourke, ferrovial, multiplex",2026,medium,low,high,"high-potential opportunity in education sector in oman, oman (middle east), driven by tech adoption."
opp-20320,infrastructure,latin america,venezuela,venezuela,150.22,26.62,12946.5,urbanization,"mace group, laing o’rourke, saipem, leighton asia, china state construction, strabag, thiess, john holland, fluor, acciona",2031,medium,high,low,"high-potential opportunity in infrastructure sector in venezuela, venezuela (latin america), driven by government investment."
opp-20321,infrastructure,europe,poland,poland,156.77,4.38,6987.76,infrastructure demand,"dragados, acciona, turner construction, gilbane, mccarthy, bouygues",2036,medium,unknown,high,"high-potential opportunity in infrastructure sector in poland, poland (europe), driven by urban growth."
opp-20322,commercial,latin america,peru,peru,112.62,20.79,7225.5,green policies,"gilbane, kajima corporation, bechtel, china state construction, kiewit",2033,low,low,low,"high-potential opportunity in commercial sector in peru, peru (latin america), driven by energy demands."
opp-20323,energy,australia,australia,queensland,179.15,3.26,11008.9,digitalization,"bouygues, shimizu corporation, john holland, vinci, hyundai e&c, saipem",2034,medium,moderate,high,"high-potential opportunity in energy sector in queensland, australia (australia), driven by energy demands."
opp-20324,transportation,australia,australia,victoria,108.97,21.15,5288.09,urbanization,"hochtief, vinci, hyundai e&c, obayashi corporation, thiess, ferrovial, john holland, kiewit, multiplex, lendlease",2027,low,high,high,"high-potential opportunity in transportation sector in victoria, australia (australia), driven by sustainability goals."
opp-20325,energy,africa,morocco,morocco,136.7,23.3,311.53,urbanization,"kajima corporation, dragados, leighton asia, larsen & toubro, mortenson construction, jacobs, acciona, hyundai e&c, cpb contractors, bouygues",2030,low,moderate,high,"high-potential opportunity in energy sector in morocco, morocco (africa), driven by infrastructure needs."
opp-20326,education,latin america,venezuela,venezuela,3.02,22.92,111.41,infrastructure demand,"multiplex, kajima corporation, bouygues",2031,low,unknown,moderate,"high-potential opportunity in education sector in venezuela, venezuela (latin america), driven by urban growth."
